scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,koreanRating,koreanDate,koreanAuthor,koreanAuthorKarma,original entropy,translated entropy
SCP-779-KO,/scp-779-ko,On the Resultant,3.0,7/18/2018 3:43,DannyuNDos,medium,143,6/25/2014 5:16,Rvadell,high,3.85883726989,4.13262502926
SCP-750-KO,/scp-750-ko,Revenant Soldier,7.0,2/3/2018 1:56,Knoth,very high,16,11/23/2017 5:15,rinkaru,high,6.99421876355,6.26597474249
SCP-709-KO,/scp-709-ko,Dismembered Eternity,6.0,1/15/2018 9:52,Kaestine,very high,12,7/29/2017 4:54,Kaestine,very high,6.72139810061,6.06426792579
SCP-521-KO,/scp-521-ko,What is Seeing?,16.0,2/4/2018 14:52,Salamander724,guru,25,7/7/2014 16:05,Salamander724,guru,5.00793462694,4.99061414492
SCP-505-KO,/scp-505-ko,The Schoolbag,9.0,10/23/2017 14:05,Salamander724,guru,47,1/14/2014 17:18,Salamander724,guru,4.47245691749,4.63697510016
SCP-380-KO,/scp-380-ko,Now the test begins.,3.0,7/11/2018 1:35,DannyuNDos,medium,47,2/20/2014 12:45,barzelets,medium,5.41428820012,5.1523171211
SCP-310-KO,/scp-310-ko,Foods From That Far Place,0.0,10/13/2018 4:39,DannyuNDos,medium,22,4/14/2013 17:03,zhsao,very high,6.1651593034,5.67582673961
SCP-222-KO,/scp-222-ko,A Train in Flames,3.0,10/22/2018 14:56,XCninety,very high,78,1/6/2014 22:37,Salamander724,guru,6.15264886925,5.55970294634
SCP-185-KO,/scp-185-ko,Visual Novel,9.0,3/13/2018 13:34,Knoth,very high,34,12/14/2014 5:58,lanlanmag,very high,5.47746825141,5.08531180353
SCP-169-KO,/scp-169-ko,The Volition Wins The Day,1.0,10/9/2019 2:18,XCninety,very high,22,3/12/2013 13:19,Cubic72,guru,5.31077732515,4.99610251642
SCP-154-KO,/scp-154-ko,Read me before read above,1.0,7/19/2018 4:54,Laclale,very high,1,12/30/2017 4:34,dem42,high,5.61980383924,5.12944335917
SCP-153-KO,/scp-153-ko,Read me before read below,1.0,7/19/2018 4:54,Laclale,very high,2,12/30/2017 4:34,dem42,high,5.61688543028,5.12944335917
SCP-113-KO,/scp-113-ko,Eternal Thursday,1.0,7/27/2017 13:17,tasteisgone,medium,30,6/29/2017 9:06,thursday113,medium,7.12935929037,6.44482884581
SCP-086-KO,/scp-086-ko,Knives for Vegans,1.0,7/12/2018 2:18,DannyuNDos,medium,18,10/21/2017 3:24,Anzi,medium,5.42612307672,5.18575714109
SCP-079-KO,/scp-079-ko,Containment-longing Shuttles,0.0,7/8/2018 9:02,XCninety,very high,"+22,+22,+22,+22",10/16/2014 11:13,thd-glasses,guru,6.36968926951,5.90082828367
SCP-074-KO,/security-clearance-recheck,You are not me.,,10/13/2018 4:25,DannyuNDos,medium,,2/2/2013 0:55,Cubic72,guru,None,None
SCP-071-KO,/scp-071-ko,Streetlight,10.0,10/23/2017 14:53,Salamander724,guru,39,10/20/2012 13:22,yjsnpi,none,5.04895030737,4.90152312542
